"","INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"1","I182070933",724,"Auto Theft","AUTO THEFT","B2",330,"","2018-09-03 21:25:00",2018,9,"Monday",21,"Part One","NORMANDY ST",42.30607218,-71.0827326,"(42.30607218, -71.08273260)"
"2","I182070940",3114,"Investigate Property","INVESTIGATE PROPERTY","D4",272,"","2018-09-03 21:16:00",2018,9,"Monday",21,"Part Three","NEWCOMB ST",42.33418175,-71.07866441,"(42.33418175, -71.07866441)"
"3","I182070936",3820,"Motor Vehicle Accident Response","M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY","C11",398,"","2018-09-03 21:09:00",2018,9,"Monday",21,"Part Three","TALBOT AVE",42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
"4","I182070938",3114,"Investigate Property","INVESTIGATE PROPERTY","B3",421,"","2018-09-03 21:05:00",2018,9,"Monday",21,"Part Three","DELHI ST",42.27536542,-71.09036101,"(42.27536542, -71.09036101)"
"5","I182070931",301,"Robbery","ROBBERY - STREET","C6",177,"","2018-09-03 20:48:00",2018,9,"Monday",20,"Part One","MASSACHUSETTS AVE",42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
"6","I182070932",3301,"Verbal Disputes","VERBAL DISPUTE","B2",584,"","2018-09-03 20:39:37",2018,9,"Monday",20,"Part Three","LAWN ST",42.32701648,-71.10555088,"(42.32701648, -71.10555088)"
"7","I182070922",2647,"Other","THREATS TO DO BODILY HARM","B3",429,"","2018-09-03 20:39:00",2018,9,"Monday",20,"Part Two","WOODROW AVE",42.28647012,-71.08714661,"(42.28647012, -71.08714661)"
"8","I182070929",3301,"Verbal Disputes","VERBAL DISPUTE","C11",364,"","2018-09-03 20:38:00",2018,9,"Monday",20,"Part Three","LESLIE ST",42.29514664,-71.05860832,"(42.29514664, -71.05860832)"
"9","I182070927",3114,"Investigate Property","INVESTIGATE PROPERTY","C6",936,"","2018-09-03 20:19:00",2018,9,"Monday",20,"Part Three","DALESSIO CT",42.34011469,-71.05339029,"(42.34011469, -71.05339029)"
"10","I182070923",3108,"Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","D4",139,"","2018-09-03 19:58:00",2018,9,"Monday",19,"Part Three","MARLBOROUGH ST",42.3503876,-71.0878529,"(42.35038760, -71.08785290)"
"11","I182070928",3301,"Verbal Disputes","VERBAL DISPUTE","C6",913,"","2018-09-03 19:55:00",2018,9,"Monday",19,"Part Three","OCEAN VIEW DR",42.31957856,-71.04032766,"(42.31957856, -71.04032766)"
"12","I182070917",2647,"Other","THREATS TO DO BODILY HARM","B2",901,"","2018-09-03 19:52:00",2018,9,"Monday",19,"Part Two","HORADAN WAY",42.33371742,-71.09665806,"(42.33371742, -71.09665806)"
"13","I182070920",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","",NA,"","2018-09-03 19:43:00",2018,9,"Monday",19,"Part Three","",42.35287456,-71.0738297,"(42.35287456, -71.07382970)"
"14","I182070941",3410,"Towed","TOWED MOTOR VEHICLE","D4",151,"","2018-09-03 19:27:00",2018,9,"Monday",19,"Part Three","CAZENOVE ST",42.34658879,-71.07242943,"(42.34658879, -71.07242943)"
"15","I182070898",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",351,"","2018-09-03 19:11:00",2018,9,"Monday",19,"Part Two","SALISBURY PARK",42.29928376,-71.059172,"(42.29928376, -71.05917200)"
"16","I182070903",2900,"Other","VAL - VIOLATION OF AUTO LAW - OTHER","B3",463,"","2018-09-03 18:55:00",2018,9,"Monday",18,"Part Two","BLUE HILL AVE",42.29590385,-71.08773294,"(42.29590385, -71.08773294)"
"17","I182070919",3301,"Verbal Disputes","VERBAL DISPUTE","C11",341,"","2018-09-03 18:52:00",2018,9,"Monday",18,"Part Three","STONEHURST ST",42.30526428,-71.06683755,"(42.30526428, -71.06683755)"
"18","I182070905",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","D4",172,"","2018-09-03 18:50:00",2018,9,"Monday",18,"Part Three","MASSACHUSETTS AVE",42.33311189,-71.0727637,"(42.33311189, -71.07276370)"
"19","I182070913",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","",NA,"","2018-09-03 18:46:00",2018,9,"Monday",18,"Part Three","WOLCOTT",-1,-1,"(-1.00000000, -1.00000000)"
"20","I182070893",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B3",427,"","2018-09-03 18:44:00",2018,9,"Monday",18,"Part One","WILMORE ST",42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
