"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Location"
"1",160101537,"12/31/2016","12/31/2016",120,1,"Central",131,350,"THEFT, PERSON","0344",35,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",350,NA,NA,NA,"100 S  FIGUEROA                     ST","","(34.0569, -118.254)"
"2",160130381,"12/31/2016","12/31/2016",230,1,"Central",171,440,"THEFT PLAIN - PETTY ($950 & UNDER)","1251 0344",21,"F","C",710,"OTHER PREMISE",NA,"","IC","Invest Cont",440,NA,NA,NA,"900 W  OLYMPIC                      BL","","(34.0454, -118.2657)"
"3",160130385,"12/31/2016","12/31/2016",230,1,"Central",132,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0445",24,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205,"KITCHEN KNIFE","AO","Adult Other",230,NA,NA,NA,"200 S  FIGUEROA                     ST","","(34.0566, -118.2531)"
"4",160130386,"12/31/2016","12/31/2016",115,1,"Central",163,624,"BATTERY - SIMPLE ASSAULT","0416 0400 0448",21,"F","H",733,"BAR/SPORTS BAR (OPEN DAY & NIGHT)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"800 S  BROADWAY","","(34.0438, -118.2547)"
"5",160130389,"12/31/2016","12/31/2016",115,1,"Central",163,624,"BATTERY - SIMPLE ASSAULT","0416 0400 0448",22,"M","H",733,"BAR/SPORTS BAR (OPEN DAY & NIGHT)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"800 S  BROADWAY","","(34.0438, -118.2547)"
"6",160130396,"12/31/2016","12/31/2016",840,1,"Central",101,330,"BURGLARY FROM VEHICLE","0344 1609",34,"F","H",109,"PARK/PLAYGROUND",NA,"","IC","Invest Cont",330,NA,NA,NA,"1200    ELYSIAN PARK                 AV","","(34.0724, -118.2486)"
"7",160130407,"12/31/2016","12/31/2016",1830,1,"Central",144,510,"VEHICLE - STOLEN","",16,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"400 S  MAIN                         ST","","(34.0478, -118.2484)"
"8",160130417,"12/31/2016","12/31/2016",1015,1,"Central",123,624,"BATTERY - SIMPLE ASSAULT","0416",37,"F","B",702,"OFFICE BUILDING/OFFICE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"200 W  1ST                          ST","","(34.053, -118.2444)"
"9",160130418,"12/31/2016","12/31/2016",1900,1,"Central",155,210,"ROBBERY","0344 0400",54,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"5TH                          ST","WALL","(34.0449, -118.2458)"
"10",160130421,"12/31/2016","12/31/2016",1050,1,"Central",171,860,"BATTERY WITH SEXUAL CONTACT","0500",30,"F","B",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",860,NA,NA,NA,"900 W  OLYMPIC                      BL","","(34.0454, -118.2657)"
